date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:07:16	29163/29163	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jun%202016%2020:29:20%20GMT	http://placement.iiitb.ac.in/data_sci.html	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/data_sci.html	(from http://placement.iiitb.ac.in/digisoc.html)
19:07:16	9667/9667	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jun%202016%2020:29:20%20GMT	http://placement.iiitb.ac.in/net_com.html	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/net_com.html	(from http://placement.iiitb.ac.in/digisoc.html)
19:07:16	12039/12039	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jun%202016%2020:29:49%20GMT	http://placement.iiitb.ac.in/soft_eng.html	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/soft_eng.html	(from http://placement.iiitb.ac.in/digisoc.html)
19:07:17	17428/17428	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jun%202016%2020:29:20%20GMT	http://placement.iiitb.ac.in/soc.html	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/soc.html	(from http://placement.iiitb.ac.in/digisoc.html)
19:07:18	14354/14354	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Jun%202016%2020:29:20%20GMT	http://placement.iiitb.ac.in/embedded.html	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/embedded.html	(from http://placement.iiitb.ac.in/digisoc.html)
19:07:19	317/317	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Apr%202017%2013:37:20%20GMT	https://embedmaps.com/google-maps-authorization/script.js?id=7f85b2f47f5aa8c9a33695e47f96673e626962b7	C:/My%20Web%20Sites/placement/embedmaps.com/google-maps-authorization/script.5c5b1f.delayed	(from http://placement.iiitb.ac.in/contact.html)
19:17:30	6620421/6620421	---M--	200	added ('OK')	image/jpeg	etag:%2257645dac-650505%22	http://placement.iiitb.ac.in/images/infra/ESDM.jpg	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/images/infra/ESDM.jpg	(from http://placement.iiitb.ac.in/)
19:17:31	177/177	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Apr%202017%2013:46:48%20GMT	http://placement.iiitb.ac.in/Missing%20URL%20in%20@import%20rule	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/Missing%20URL%20in%20@import%20rule.5d.delayed	(from http://placement.iiitb.ac.in/assets/js/cssParser.js)
19:17:31	177/177	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Apr%202017%2013:46:48%20GMT	http://placement.iiitb.ac.in/GET	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/GET	(from http://placement.iiitb.ac.in/assets/js/css-filters-polyfill.js)
19:17:32	177/177	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Apr%202017%2013:46:48%20GMT	http://placement.iiitb.ac.in/js/css-filters-polyfill/	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/js/css-filters-polyfill/index.html	(from http://placement.iiitb.ac.in/assets/js/css-filters-polyfill.js)
19:17:43	68875/68875	---M--	200	added ('OK')	application/octet-stream	etag:%2257645dba-10d0b%22	http://placement.iiitb.ac.in/assets/fonts/fontawesome-webfont.eot?v=4.4.0	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/assets/fonts/fontawesome-webfont93e3.eot	(from http://placement.iiitb.ac.in/assets/css/font-awesome.min.css)
